Date,Sales,Quantity Sold,Unit_Price,Avg_Unit_Price,Cost Of Sales,Daily_Gross_Profit,Gross_Profit_per_Unit,Promo_1,Promo_2,Promo_3,Total_Sales,Total_Cost,Total_Gross_Profit,Total_Units,Avg_Price,Avg_GrossProfit
2014-09-20,153569.0619,4383,35.037431416837784,35.40044687766667,151376.1356,1.4279740156438319,0.500325416381472,0,0,0,186909828.25687966,194026109.44628012,-7116281.1894,5279872,37.07285158158659,-0.874976653169138
2014-09-21,75633.32059,2159,35.031644553033814,35.40044687766667,74546.66825,1.4367375801078794,0.5033128022232518,0,0,0,186909828.25687966,194026109.44628012,-7116281.1894,5279872,37.07285158158659,-0.874976653169138
2014-09-22,90815.92981,2592,35.03700995756173,35.40044687766667,89653.63759,1.279832979116864,0.4484152083333345,0,0,0,186909828.25687966,194026109.44628012,-7116281.1894,5279872,37.07285158158659,-0.874976653169138
2014-09-23,110118.1564,3143,35.03600267260579,35.40044687766667,108880.409,1.1240175466649998,0.3938108176901074,0,0,0,186909828.25687966,194026109.44628012,-7116281.1894,5279872,37.07285158158659,-0.874976653169138
2014-09-24,209908.3831,6457,32.50865465386403,35.40044687766667,223554.0866,-6.500790153530558,-2.1133194207836463,0,0,0,186909828.25687966,194026109.44628012,-7116281.1894,5279872,37.07285158158659,-0.874976653169138
2014-09-25,358365.683,11039,32.46360023552858,35.40044687766667,382967.9832,-6.8651384234243205,-2.228671093396141,0,0,0,186909828.25687966,194026109.44628012,-7116281.1894,5279872,37.07285158158659,-0.874976653169138
2014-09-26,585463.996,18036,32.46085584386782,35.40044687766667,625980.9302,-6.920482638867497,-2.246447893102678,0,0,0,186909828.25687966,194026109.44628012,-7116281.1894,5279872,37.07285158158659,-0.874976653169138
2014-09-27,617019.0915,19017,32.44565870011043,35.40044687766667,661010.5913,-7.129682112923728,-2.3132723247620546,0,0,0,186909828.25687966,194026109.44628012,-7116281.1894,5279872,37.07285158158659,-0.874976653169138
2014-09-28,283850.5971,8747,32.45119436378187,35.40044687766667,304440.6515,-7.253835154958694,-2.3539561449639836,0,0,0,186909828.25687966,194026109.44628012,-7116281.1894,5279872,37.07285158158659,-0.874976653169138
2014-09-29,264317.1104,8147,32.44348967718179,35.40044687766667,283912.9687,-7.4137683596589525,-2.4052851724561215,0,0,0,186909828.25687966,194026109.44628012,-7116281.1894,5279872,37.07285158158659,-0.874976653169138
2014-09-30,358024.9813,11036,32.4415532167452,35.40044687766667,384823.4399,-7.485080650711569,-2.428276422616891,0,0,0,186909828.25687966,194026109.44628012,-7116281.1894,5279872,37.07285158158659,-0.874976653169138
2014-10-01,594438.2808,18330,32.429802553191486,35.40044687766667,639306.5688,-7.54801456252379,-2.4478062193126053,0,0,0,186909828.25687966,194026109.44628012,-7116281.1894,5279872,37.07285158158659,-0.874976653169138
2014-10-02,470507.663,14503,32.44209218782321,35.40044687766667,506072.0333,-7.558722863988724,-2.452207839757292,0,0,0,186909828.25687966,194026109.44628012,-7116281.1894,5279872,37.07285158158659,-0.874976653169138
2014-10-03,518693.5287,15986,32.44673643813337,35.40044687766667,557939.3693,-7.566286916739008,-2.4550131740272736,0,0,0,186909828.25687966,194026109.44628012,-7116281.1894,5279872,37.07285158158659,-0.874976653169138
2014-10-04,656245.8284,20223,32.450468694061215,35.40044687766667,705891.3003,-7.56507237859952,-2.4549014439005097,0,0,0,186909828.25687966,194026109.44628012,-7116281.1894,5279872,37.07285158158659,-0.874976653169138
2014-10-05,280055.1177,8631,32.44758633993744,35.40044687766667,301279.655,-7.57870003387552,-2.459105236936627,0,0,0,186909828.25687966,194026109.44628012,-7116281.1894,5279872,37.07285158158659,-0.874976653169138
